Period,NationalTV1,NationalTV2,Magazine1,Magazine2,PaidSearch1,PaidSearch2,Display1,Display2,Facebook1,Facebook2,Wechat1,Wechat2,CCI,Sales Event,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
12/29/2014,42.64349192,12.0696778,5.4779756,12.8059225,274845.5511,6429.851206,1200464.067,39640330,1055241.088,38534317,458.901871,1800.625195,98.1,0,35450,230369,16533319,9340545,13766466,0,35203,144453,95004,33821247,0,0
1/5/2015,40.87963349,12.20518244,5.73930075,14.01916437,294724.2551,6415.955118,1101716.342,34696403,500244.2214,33821247,345.717868,803.7625195,98.1,0,35166,230010,10947260,16645699,7103444,0,79003,122757,95173,13303858,0,0
1/12/2015,42.42998306,11.86617818,5.817698295,14.14048856,336161.8255,6738.416388,1151913.053,38252230,0,13303858,332.5526732,622.1762519,98.1,0,35166,222221,22605133,0,15647097,0,54160,174227,112379,0,0,0
1/19/2015,44.15968451,12.16448251,5.841217558,14.15262098,303955.4826,7387.540989,1188106.419,39599333,0,0,371.5392408,626.5176252,98.1,0,35166,214672,16758457,0,22840876,0,78652,144267,77458,0,0,0
1/26/2015,41.65979198,12.49283521,5.848273337,14.15383422,379404.7483,6884.989394,1260874.822,43014669,0,0,365.9117883,726.8517625,95.4,0,35166,218453,19083393,0,23931276,0,96575,172969,118244,0,0,0
2/2/2015,41.15981348,12.0161134,5.449104151,12.3285427,359963.1748,8038.011992,1208079.641,39505335,431045.1175,0,408.1828911,704.4851763,95.4,0,30455,218490,20789509,0,18715826,0,99771,177661,80371,11044687,0,0
2/9/2015,34.30592904,11.92076903,5.329353396,12.14601355,338373.8175,7750.737133,1263006.824,42916816,452956.5556,11044687,373.2405184,807.5485176,95.4,0,30455,222664,25800645,0,17116171,0,48249,152441,135285,11750888,0,0
2/16/2015,37.77660796,10.54687061,5.293428169,12.12776063,406170.0817,7422.558977,1203393.831,39241417,375421.8564,11750888,409.6486371,712.5548518,95.4,0,30455,221865,20072766,0,19168651,0,115806,193501,104396,9292861,0,0
2/23/2015,35.57692591,11.25359658,5.282650601,12.12593534,367821.0082,8432.224712,1136493.027,36425874,410617.734,9292861,470.5893287,808.3554852,93,0,30455,221499,14983876,0,21441998,0,110347,175956,77257,10394345,0,0
3/2/2015,38.03080733,10.81502171,1.58479518,1.212593534,362654.1008,7868.213529,1309382.126,46127880,357901.4417,10394345,535.6228745,950.2355485,93,0,30234,224803,23854095,12767907,9505878,0,135039,170281,56760,8753955,0,0
3/9/2015,39.47939409,11.3072268,0.475438554,0.121259353,362411.9101,7791.781762,1242291.704,40775576,239388.8904,8753955,472.895316,1096.723555,93,0,30234,214701,21850038,10920646,8004892,0,30239,200637,131509,5295171,0,0
